title,postexcerpt
Space Force taking extra time to organize acquisitions command,Gen. David Thompson said the new Space Systems Command will be established sometime in 2021
"Space Force members can go to the moon, if they’re picked by NASA",Gen. DT Thompson: There are no plans today to send Space Force units into space.
Report backs NASA exploration efforts as response to Chinese space program,A new report used the growth of China’s space program to argue for continued support of NASA’s own exploration ambitions as well as legislation to assist the space industry and space traffic management.
Space Force buyers make recruiting pitch to tech companies,The Air Force Research Laboratory Space Vehicles Directorate is looking for companies with which to partner.
Swissto12 and Thales Alenia Space turn to 3D printing for communications satellite parts,SWISSto12 is working with Thales Alenia Space to expand the use of additively manufactured parts for geostationary communications satellites.
Space Force weighing options to modernize ground antennas for military satellites,"The U.S. Space Force's vision for modernized ground stations includes a mix of new phased array antennas, commercial services and borrowing capacity from other U.S. government agencies."
SpaceX wins launch contract for NASA space science mission,"NASA has selected SpaceX to launch a space science mission and several secondary payloads, the latest in a series of wins by SpaceX for NASA science missions."
NASA working with cosmetics company on space station commercialization,"NASA is taking the next small step in its efforts to promote commercialization of low Earth orbit by flying a cosmetics company’s product to the International Space Station, a project that has prompted questions from one senator."
U.S. Space Command announces improvements in space debris tracking,"The 18th Space Control Squadron at Vandenberg Air Force Base is now providing “more meaningful” data on approximately 25,000 space objects."
Space station maneuvers to avoid debris,"The International Space Station maneuvered to avoid a potential collision with a piece of space debris Sept. 22, an incident the head of NASA used to advocate for more funding for the agency directed to handle space traffic management."
Blue Origin considers entering commercial space station business,"Commercial spaceflight company Blue Origin is considering development of commercial space stations, with NASA as a potential early customer."
"Space Force, DoD agencies, NRO try to get on the same page on future acquisitions","\"A \"\"program integration council\"\" run by the Space and Missile Systems Center will include representatives from DoD space-buying agencies and the National Reconnaissance Office.\""
L3Harris gets $119 million Space Force contract for deep-space telescopes,The contract is to upgrade and expand the Ground-based Electro-Optical Deep Space Surveillance System that track objects in geostationary orbits.
Hyten: Space Force has a limited time window to define its future,"\"Congress gave the Space Force “wide latitude to define their future.\"\" But Congress is impatient"
PLD Space raises €7 million as it aims for sounding rocket’s 2021 debut,Launch startup PLD Space of Spain raised 7 million euros ($8.2 million) this week from Madrid-based investment bankers Arcano Partners to continue development of its Miura family of partially reusable rockets.
Xage Security preparesU.S. Space Force cyber strategy,"Xage Security, a Silicon Valley cybersecurity startup, announced a contract Sept. 17 to develop a data protection strategy for the U.S. Space Force."
Nanoracks finalizing space station airlock and new funding round,"As Nanoracks puts the finishing touches on an airlock that will be installed on the International Space Station later this year, the company is finalizing a new funding round."
Space Force seeks to influence private sector investments in space technology,Industry executives said space capabilities can’t be achieved with a single product or by a single company.
Congress set to pass space weather bill,"The House is slated to pass a space weather bill this week, culminating a five-year effort to turn a put elements of a space weather strategy and action plan into law."
NASA offers to buy lunar samples to set space resources precedent,NASA is offering to buy lunar samples collected by companies for a token sum primarily to set a precedent for space resource rights on the moon.
Space Force gets political boost from Senate supporters,Sen. Cramer: The Space Force caucus will provide an avenue to craft bipartisan legislative ideas.
Space Force outreach emphasizes role protecting global space economy,Lt. Gen. Liquori: Access to the space domain is vital to economic prosperity
"In stopgap funding bill, White House wants Space Force accounts separated from Air Force",The administration is requesting that funding lines in the Space Force’s budget request be transferred from the Air Force’s budget to separate accounts.
Gerstenmaier warns against ending space station program prematurely,"The former head of NASA’s human spaceflight program, now working as a consultant to SpaceX, said he welcomes greater commercial activity in low Earth orbit but cautioned against ending the International Space Station prematurely."
White House issues cybersecurity space policy,The White House released a new space policy directive Sept. 4 intended to improve cybersecurity of space systems.
Air Force Research Laboratory announces new space experiments,"AFRL's Space Vehicles Directorate will study the physics of very low Earth orbit, and will pursue sensor technologies for cislunar space"
Made In Space Europe and Momentus plan robotic spacecraft,"Made In Space Europe, a Redwire subsidiary, announced an agreement Sept. 1 with space transportation company Momentus to jointly develop a robotic spaceflight mission to launch in 2022."
Space Force to add hundreds of new members as airmen begin to transfer over,"The 2,400 Air Force space operators who are transferring to the Space Force are spread across 175 locations around the world."
NASA space technology faces potential budget pressure,"Uncertain overall funding and congressional direction to increase funding on specific projects could create pressure on NASA’s space technology program, an agency official warned Sept. 1."
"Lockheed Martin, York Space to produce 20 satellites for Space Development Agency",Lockheed Martin received a $187.5 million contract and York Space Systems a $94 million contract for the Space Development Agency’s Transport Layer Tranche 0.
PLD Space completes critical testing of its Teprel-B rocket engine,PLD Space has taken a step closer to qualifying its Teprel-B rocket engine that will power the company's suborbital Miura 1 rocket.
Rocket Lab returns to flight with Capella Space launch,Rocket Lab successfully launched a radar imaging satellite for Capella Space Aug. 30 in the first flight of its Electron rocket since a failure nearly two months earlier.
Report: Space Force improving delivery of orbit monitoring software,A report submitted to Congress says the Space C2 program has transitioned to agile software development practices.
Space Force buyers want a classified cloud to manage satellite programs,The Space and Missile Systems Center needs a digital workflow system for the development of classified early-warning and communications satellites.
Marine sergeant named U.S. Space Command’s top enlisted leader,Marine Corps Mastery Gunnery Sgt. Scott Stalker will take over for Space Force Chief Master Sgt. Roger Towberman
‘Starfleet’ amendment puts Space Force in a political bind,"\"Space Force statement: \"\"We don’t comment on proposed legislation and will announce Space Force ranks when the decision is final.”\""
Cape Canaveral’s Air Force launch wing to become a space delta,"The 45th Space Wing that oversees the space launch ranges in Florida will no longer be a wing, it will be a space delta."
Morpheus Space attracts high-profile backers,Morpheus Space attracted a high-profile group of investors for its first venture capital round.
SN Military Space | Space Force praised for fiscal restraint • Space Pitch Day 2021 planned in Los Angeles,"Today’s briefing: U.S. Space Force trying to stay lean, 2021 Space Pitch Day planned for spring,SPACECOM not moving for six to eight years."
Industry supports giving space traffic management work to Commerce Department,"Companies and organizations in the space industry support the recommendations of a recent report that the Commerce Department handle civil space traffic management, but say it’s more important that the government settle on an agency and move forward."
"As he welcomes new space commander, Esper warns of threats to U.S. satellites","\"The United States is the dominant space power and the \"\"gains we possess are being threatened"
Space Force to propose personnel reforms to attract tech talent,"Space Force Vice Commander Thompson said the service wants to create a “21st century talent management and human capital strategy.\"\""
Report endorses giving Commerce Department responsibility for space traffic management,A report commissioned by Congress agreed with the administration that the Commerce Department is the best agency to handle civil space traffic management (STM) responsibilities.
Space Force technology roadmap to emphasize partnerships with private sector,The Space Force is putting together a technology wish list and will need help from the private sector to make it a reality.
SN Military Space | U.S. military foresees need for space logistics • SPACECOM gets new boss • Space Force swears in its first female general,"Today’s briefing: Space Force thinking about logistics,SPACECOM prepares for change of command, Armagno becomes the first female Space Force general"
Armagno becomes the U.S. Space Force’s first female general officer,Armagno was commissioned into the Space Force and promoted to three-star general Aug. 17 in a ceremony at the Pentagon.
U.S. Air Force Academy to expand space education curriculum,"In addition to astronautical engineering, cadets will be offered courses in space law, strategy and operations."
U.S. Army general to be sworn in as space commander,Gen. James Dickinson will be the first Army officer to lead U.S. Space Command
DoD technology buyers defend need for secrecy in space programs,Space RCO Director Mike Roberts: “What we do is classified for a reason.”
Space Force foresees need for fast response launch vehicles and in-space logistics,“Space mobility and logistics” are identified in the new Space Force doctrine as core competencies of the service.
The space sector is finally finding its way to the exits,"As a wave of acquisitions washes over the space industry, NewSpace investors are finally finding the exits — just not where they expected them to be."
U.S. Space Force unveils doctrine explaining its role in national security,The Spacepower document is the Space Force's first capstone doctrine
"With Thompson’s nomination, U.S. Space Force leadership takes shape","If confirmed, Thompson will be the second four-star general in the U.S. Space Force under Gen. John “Jay” Raymond."
SES taps Thales Alenia Space for final two C-band replacement satellites,"Satellite fleet operator SES has selected Thales Alenia Space to build two C-band satellites, making the Franco-Italian manufacturer the first European company to win one of nine replacement satellite orders placed this year as a result of the U.S. Federal Communications Commission’s upcoming C-band spectrum auction."
"U.S. military space architecture to bring in commercial systems, small satellites",Col. Russell Teehan said commercially developed technologies will be part of the future capabilities of the U.S. Space Force.
DoD space agency’s programs don’t have to be perfect but have to be fast,Tournear says the Space Development Agency wants to create a market so the industry can plan investments.
General Atomics to design Space Force weather satellite prototype,General Atomics Electromagnetic Systems announced an agreement Aug. 4 to design a prototype for the U.S. Space Force Electro-Optical Infrared Weather System.
Made In Space highlights defense applications for manufacturing and robotic assembly technology,Made In Space is underscoring national security applications for its in-space robotic assembly and additive manufacturing technologies at the annual Small Satellite Conference.
Raytheon designs prototype for Space Force weather satellite,Raytheon Intelligence & Space is designing a prototype weather satellite for the U.S. Space Force Space and Missile Systems Center that draws heavily on technology from the firm’s Visible Infrared Imaging Radiometer Suite and Moderate Resolution Imaging Spectroradiometer.
Crew Dragon undocks from space station,A SpaceX Crew Dragon spacecraft carrying two NASA astronauts on a test flight undocked from the International Space Station Aug. 1 ahead of a splashdown less than 24 hours later.
Space Force acquisition reforms awaiting White House approval,"\"A point of contention is the Air Force proposing \"\"incremental\"\" funding for space systems like satellites \""
U.S. SPACECOM nominee Dickinson says countries must be held accountable for actions in space,"\"Dickinson said \"\"norms of behavior\"\" should be established for the space domain.\""
Report proposes actions to strengthen U.S. space industry and military capabilities,One of the narratives in the report is that the United States is at risk of being displaced by China as the world's space superpower.
U.S. Space Force and U.K. Ministry of Defense to hold International Space Pitch Day,U.S. and U.K. defense agencies plan to award $1 million to startups at the first International Space Pitch Day in November during the Defence Space Conference in London.
Space Force ranks and insignia decisions on hold pending congressional action,The Space Force will continue to use the Air Force rank structure at least until the NDAA is passed.
Space Force reorganizes former Air Force space wings into “Deltas” and “Garrisons”,The 21st Space Wing; the 50th Space Wing and the 460th Space Wing have been deactivated and new units have been stood up in their place.
U.S. Space Command again condemns Russia for anti-satellite weapon test,U.S. Space Command says Russia on July 15 conducted a non-destructive test of a space-based anti-satellite weapon.
White House report outlines integrated strategy for space exploration and development,"A new National Space Council report argues that the exploration and development of space must be an integrated effort that involves not just NASA but other government agencies, as well as international and commercial partners."
"Startups in U.K., Switzerland, led Europe in space investment last year","Space startups in the United Kingdom and Switzerland led their European counterparts in raising private capital last year, according to the European Space Policy Institute."
"Space Force unveils logo, ‘Semper Supra’ motto",The Space Force motto “Semper Supra” means “always above.”
Senate Armed Services Committee to consider Dickinson’s nomination to lead U.S. Space Command,Army Lt. Gen. Dickinson became deputy commander of U.S. Space Command in December 2019.
European Commission agrees to reduced space budget,"The European Commission slashed its space budget for the next seven years, agreeing to a maximum of 13.2 billion ($15.2 billion) focused mainly on continuing the Galileo and Copernicus satellite programs."
Near Space Labs discloses prices for Texas imagery,Near Space Labs is selling high-resolution imagery of major Texas cities for prices ranging from $10 to $50 per square kilometer.
Three companies studying “Orbital Outpost” space station concepts for Defense Department,"Three companies have received study contracts from a Defense Department agency regarding concepts for small, uncrewed space stations in low Earth orbit, although none of the awards yet fund spacecraft construction."
U.S. Space Force creates acquisition command to build culture of innovation,"The traditional way of buying satellites and other space systems is problematic, Gen. John “Jay” Raymond, the leader of the U.S. Space Force has said, as programs take a decade or longer to move through the military acquisition process and struggle to keep up with commercial space innovation."
NASA plans early August return of Crew Dragon from space station,"NASA confirmed July 17 that the SpaceX Crew Dragon spacecraft, with two astronauts on board, will return to Earth from the International Space Station in early August."
"More than 2,400 airmen to transfer to U.S. Space Force in September","The 2,410 airmen selected to transfer are all from space operations career fields."
SN Military Space | Lawmakers question cost of national security space launch • U.S. exporters of geospatial data to get help from Ex-Im Bank,Today’s SN Military Space briefing: Lawmakers question cost of national security space launch • U.S. exporters of geospatial data to get help from Ex-Im Bank • LeoLabs wins $15 million Defense Production Act contract
How the space sector is responding to the killing of George Floyd,"Since late May, the space industry, like organizations and individuals around the world, has been responding to the Black Lives Matter movement and calls for racial justice."
Airbus reorganizes U.S. operations to fuel growth in space and defense,"The primary markets for Airbus U.S. Space & Defense are military aircraft, geospatial intelligence and satellites."
House spending bill rejects Office of Space Commerce funding increase,A spending bill approved by the House Appropriations Committee July 14 once again rejects an administration proposal to combine the Office of Space Commerce with another office and increase its budget to perform space traffic management work.
Space Force acquisition management criticized by House appropriators,"Defense committee says not having a senior civilian acquisition executive for space is a “fundamental problem.\"\""
Space Force proposes headquarters staff led by generals and civilians,Maj. Gen. Chance Saltzman wil serve as acting staff director of the Office of the Chief of Space Operations.
Thales Alenia Space wins lion’s share of newly awarded Copernicus contracts,Thales Alenia Space of France and Italy won the largest share of prime contracts the European Space Agency awarded July 1 for further development of six new Copernicus satellite missions.
"UCAR’s president talks about space weather, radio occultation and a multidisciplinary approach to Earth science","As Congress and the Trump Administration seek to improve space weather coordination, the University Corporation for Atmospheric Research is eager to help."
Military spaceplane experiment sheds light on space solar satellites,An experiment launched May 17 onboard the U.S. Air Force’s X-37B Orbital Test Vehicle-6 is based on over a decade of work focused on a modular space solar satellite capable of beaming energy to Earth.
Southwest Research Institute wins NOAA contract to build space weather instrument,The Southwest Research Institute won a $15.6 million contract to design and build the Solar Wind Plasma Sensor for the National Oceanic and Atmospheric Administration’s Space Weather Follow On (SWFO) Lagrange 1 satellite.
"HASC amendments question space acquisition reforms, challenge DoD plans to procure new systems",The committee is concerned that the Air Force’s recommendations “risk undermining congressional oversight of major space acquisition programs.”
"SpaceX launches a U.S. Space Force GPS 3 satellite, recovers rocket’s first stage",This was the first time SpaceX recovered a booster following a National Security Space Launch mission.
"Space Force to stand up three major commands, lower echelons to be called ‘deltas’","The three major commands are Space Operations Command, Space Systems Command and Space Training and Readiness Command."
Ball Aerospace wins NOAA space weather contract,"Ball Aerospace won a $96.9 million contract June 25 to build, integrate and operate a National Oceanic and Atmospheric Administration’s Space Weather Follow On satellite destined for Lagrange Point 1."
HASC Chairman adds $150 million in NDAA for space launch technology development,The $150 million addition is for investments focused on the National Security Space Launch Phase 3 competition.
Space Adventures signs contract for Soyuz flight with spacewalk option,Space tourism company Space Adventures has signed a contract with RSC Energia for a Soyuz flight to the International Space Station that will include an opportunity for one customer to perform a spacewalk.
York Space and MSU Denver extend partnership through Air Force contract,York Space Systems and Metropolitan State University of Denver won a U.S. Air Force contract to investigate ways to reduce the cost and speed delivery of high-quality satellite imagery.
Redwire acquires Made In Space,"Made In Space, a pioneer of in-space manufacturing and assembly technologies, is being acquired by Redwire, a new venture that is rolling up a number of smaller space companies."
"HASC strategic forces draft bill presses DoD on space procurements, use of commercial tech",The Strategic Forces markup challenges DoD's acquisition strategy for satellite-based communications and is critical of the Space Development Agency.
Boeing reshuffles space program management,Boeing announced late June 19 several changes in management of its work on the International Space Station and CST-100 Starliner commercial crew vehicle.
Commerce Department hopes study will free up funding for space traffic management work,"Two years after a space policy directive gave it responsibility for space traffic management, the Commerce Department says it is making progress on implementing that policy as it continues to seek additional funding from Congress."
Planting the seeds of technology for the future Space Force,"A conversation with Col. Eric Felt, director of AFRL’s Space Vehicles Directorate in which he discusses how the U.S. Space Force is small in size but big on technology."
DoD space strategy highlights role of private sector,DoD says the growth of commercial space capabilities has added complexity to the space operating environment.
Pentagon issues new strategy to defend U.S. dominance in space,DoD released the 2020 Defense Space Strategy aimed at countering China and Russia.
"Senate Armed Services advances NDAA, Space Force acquisition reforms not included",The SASC markup of the 2021 NDAA includes several Space Force provisions but none on acquisition reforms.
"More than 8,500 airmen volunteer to join U.S. Space Force","\"Gen. Raymond: \"\"These men and women “made the bold decision to volunteer to join the U.S. Space Force and defend the ultimate high ground.\"\"\""
Techstars space accelerators announce 2020 startups,The Techstars Starburst Space Accelerator and Techstars Allied Space Accelerator announced the names June 8 of companies selected to participate in their 2020 classes.
Space Development Agency to deploy hypersonic missile defense satellites by 2022,A June 5 solicitation for a “tracking phenomenology experiment” is a step in the development of a sensor network in space to track hypersonic missiles.
Space Force thinking about NASA-style partnerships with private companies,Felt said NASA’s commercial crew program is “super exciting” and one that the Space Force can learn from.
Webinar Replay | Sowing the Seeds for Future Space Technologies,"Col. Eric Felt, director of the AFRL Space Vehicles Directorate, talks with SpaceNews Staff Writer Sandra Erwin and Editor-in-Chief Brian Berger about the R&D investments the directorate is making to help the U.S. military maintain a technological advantage in the space domain."
DoD reviewing new data on pandemic impact on space industry suppliers,Data received so far from space industry suppliers shows the pandemic has caused schedule delays and strains on the supply chain.
Congressional report refutes claim that a Space National Guard would be ‘cost neutral’,CBO estimates that standing up a Space National Guard would cost about $100 million a year.
U.S. Space Force to expand presence inside the Pentagon,The headquarters of former Air Force Space Command in Colorado Springs will be phased out. The Space Force HQ is being stood up in the Pentagon.
"China outlines intense space station launch schedule, new astronaut selection",China is preparing to carry out 11 missions in two years to construct a space station and will soon select a new batch of astronauts for the project.
Air Force: Report on space acquisition reforms ‘not finalized’,"A report sent to Congress last week proposing changes to Space Force acquisition programs was an “initial version” and not the final product, the Air Force said."
Space Force proposes ‘alternative acquisition system’ with less red tape,The U.S. Space Force is asking for changes in the rules that currently are in place for buying new weapon systems.
Raymond: DoD needs unified organization for space acquisitions,Space Force will have a field command focused on acquisition that will bring together several existing organizations
U.S. Space Command signs space data sharing agreement with Peru,"The agreement was signed last week between Maj. Gen. Javier Tuesta Marquez, of Peru's space agency, and Rear Adm. Marcus Hitchcock of U.S. Space Command."
Understanding the FCC’s outsized impact on the space industry,"The U.S. Federal Communications Commission is not a space agency, but many of its actions have shaping impacts on what happens in space."
NASA renames WFIRST space telescope after pioneering woman astronomer,"NASA announced May 20 it is renaming a major space telescope under development after an astronomer who led the agency’s early work in space-based astronomy, even as the mission remains under threat of cancellation."
"Air Force says Space Development Agency should be in the Space Force now, not later",Air Force Secretary Barrett is pushing back on a proposal that would delay transferring the SDA to the Space Force until October 2022.
Relativity Space hires SpaceX executive to lead launch vehicle factory development,Relativity Space has hired a longtime SpaceX executive to help the startup scale up production of its small launch vehicle.
Air Force widens search for future location of U.S. Space Command,U.S. Space Command for the next six years will remain at its provisional headquarters at Peterson Air Force Base in Colorado Springs.
White House updates membership of Space Council advisory group,"The White House has updated the membership of an advisory group for the National Space Council, replacing four original members of the committee with five people, including a former member of Congress."
Space Force flag unveiled at White House ceremony,The flag is derived from the Space Force seal that Trump approved in January.
Space Force to begin specialized warfare training for new officers,"Space Force career tracks will include orbital warfare, space electronic warfare and space battle management."
Space Force vice commander: China can’t be allowed to buy bankrupt U.S. space companies,Lt. Gen. Thompson: DoD plans to work with Congress to help space companies that face bankruptcy.
National security space conference to propose plan to boost industrial base,A group with more than 150 government and industry officials will recommend greater investments in space technology and education.
Space Force to get deeper insight into inner workings of SpaceX commercial launches,"\"The $8.9 million \"\"fleet surveillance\"\" contract gives the Space Force a closeup view of SpaceX commercial launches.\""
"Coronavirus could shrink European space industry by 1 billion euros, politicians warn","Seven members of the European Parliament, the legislative branch of the European Union, are pushing for a recovery plan for space companies hurt by the coronavirus pandemic."
National Space Council in discussions on FCC orbital debris policies,The National Space Council is in discussions with the Federal Communications Commission and other agencies about new orbital debris mitigation regulations after the FCC deferred a decision last month on a controversial set of measures.
Bridenstine ties international cooperation on Artemis to norms of behavior in space,"NASA Administrator Jim Bridenstine wants the space agency to play a bigger role in national strategy, including requiring countries interested in participating in the Artemis program to accept “norms of behavior” for safe space operations."
Long March 5B launch clears path for Chinese space station project,"A Long March 5B rocket launched a prototype crewed spacecraft Tuesday, demonstrating the launcher’s capability to carry space station modules to LEO."
UC Berkeley Lab to build NOAA space weather instrument,"The National Oceanic and Atmospheric Administration awarded a $7.5 million contract to the Space Sciences Laboratory at the University of California, Berkeley, to design, build and test an ion sensor for the Space Weather Follow-On Lagrange-1 mission."
Space executive: Government can’t save every startup but can do a lot,"Relativity Space VP: “The most impactful thing that government can do is actually go out and buy services from startups.\"\""
Coronavirus pandemic forces small space companies to improvise,"It’s difficult to gauge the impact of the novel coronavirus on small space companies because no one knows how long the pandemic will last. “Uncertainty is really the killer here,” said Space Angels CEO Chad Anderson."
Space agencies working on a ‘unified message’ on industry stimulus,The Space Acquisition Council is collecting data on the state of the defense supply chain.
"Long March 5B rolled out for crewed spacecraft, space station test launch",China rolled out a Long March 5B launcher Wednesday for a mission to prove space station launch capabilities and test a new spacecraft for deep space human spaceflight.
Space Acquisition Council working to identify industry sectors in ‘immediate distress’,"\"Gen. Raymond: \"\"The COVID crisis must not undermine critical space industries.\"\"\""
Survey: Most Army space officers would transfer to the U.S. Space Force,"The survey anonymously polled the entire active-duty officer corps of Functional Area 40 Space Operations, known as FA40."
Defense market a safe haven for space companies during pandemic,"Since the pandemic hit, Pentagon contracts have been a lifeline for companies in the space industry."
"Venture capital slowdown a concern for military space programs, analysts warn",Todd Harrison: “If we want to be competitive we don’t want to lose this vital part of the space industrial base.”
Pompeo blasts Iran’s space program in wake of military satellite launch,"Pompeo: “Iran’s space program is neither peaceful nor entirely civilian.\"\""
Webinar Replay | Space Force Gets Down to Business,Space Force Vice Commander Lt. Gen. David Thompson and a panel of military space experts discuss what’s next for the newest branch of the U.S. armed services.
Webinar Replay | From Orbital Debris to GPS vs 5G: Decoding the FCC’s Role in Space Policy,Join SpaceNews staff writers Jeff Foust and Caleb Henry for a panel discussion on the FCC's 5G and orbital debris actions and where the independent agency fits into space policy efforts by the Trump administration and Congress.
"Space Force projects more than 7,000 airmen will join its ranks this year","Thompson: “We’re beginning the next phase of activities to really build out the Space Force.\"\""
Chinese space resource utilization firm Origin Space signs deal for space telescope,Chinese startup Origin Space has signed a contract for development of an optical space telescope as a step toward space resource utilization.
"U.S. Space Force applications open May 1, but only for eligible airmen","Towberman: “The choice to transfer into the Space Force will be a personal decision for each individual.\"\""
Millennium Space delivers smallsat for upcoming U.S. Space Force rideshare mission,"Called Tetra-1, the microsatellite was the first project awarded in 2018 by the Space Enterprise Consortium."
Palantir to provide data and software services to U.S. Space Force,"The contract is for a project called Kobayashi Maru, an effort to replace decades-old space command-and-control systems with modern software apps."
U.S. Space Force adds 86 new officers after academy graduation,VP Mike Pence congratulated the class as the first to commission officers into the newly created Space Force.
FCC urged to delay vote on new space debris regulations,The leaders of the House Science Committee are asking the Federal Communications Commission to delay an April 23 vote to introduce stricter space debris regulations opposed by the satellite industry.
U.S. Space Force to start accepting applications May 1,"The Space Force has to start planning its future, said Chief Master Sgt. Roger Towberman."
U.S. Space Command awards $14 million contract extension to LinQuest for support services,The company has 60 employees supporting U.S. Space Command full-time.
Space industry consortium concerned about financial health of small businesses,The Space Enterprise Consortium could consider increasing opportunities for small businesses.
U.S. Space Command blasts Russia for anti-satellite missile test,U.S. Space Command said the test showed that Russia’s missiles are capable of destroying satellites in low Earth orbit.
Southwest Research Institute wins NOAA space weather contract,"The National Oceanic and Atmospheric Administration awarded a $12.9 million contract to the Southwest Research Institute to design and build the Space Weather Follow-on (SWFO) Lagrange-1 Magnetometer."
Air Force eyeing technology to monitor space traffic near the moon,A team of space startups received an Air Force contract to develop a concept to collect and manage lunar intelligence.
Space Pioneer raises $14 million to develop green liquid rocket engines,Chinese space propulsion startup Space Pioneer has raised $14 million in funding for completing a series of next-generation liquid engines.
New Pentagon advisory group will focus on space innovation,The space advisory group will be part of the Defense Innovation Board.
"Space industry group warns DoD suppliers are at risk, proposes stimulus measures","DoD space launch, intelligence collection, satellite manufacturing and other activities are hugely dependent on small companies that are becoming financially strained."
Soyuz launches new crew to the International Space Station,A Soyuz rocket successfully launched a new crew to the International Space Station April 9 on a mission that overcame complications from a global pandemic and a change in crew members.
HASC Chairman: Space Force launch contracts should stay on schedule to help industrial base,Rep. Adam Smith said a delay in the award of national security space contracts could be harmful to suppliers.
White House looks for international support for space resource rights,"An executive order by the White House April 6 seeks to establish international support for the U.S. position that space resources can be used by companies and organizations, and to head off alternative international legal regimes."
Soon-to-be Space Force officers see opportunity for change,The U.S. Space Force will commission 88 lieutenants graduating from the Air Force Academy.
ESA restores operations of space science missions,"ESA has restored operations of four space science missions it placed on hiatus because of the coronavirus pandemic, a move that illustrated how one agency’s actions can affect others."
Top enlisted leader Towberman officially joins the U.S. Space Force,"Towberman, who joined the U.S. Air Force in 1990, will be the first enlisted member of the Space Force."
Space Micro wins $3 million for laser communications terminal,The U.S. Space and Missile Systems Center awarded satellite component supplier Space Micro a $3 million contract for a laser communications terminal designed to transmit data at a rate of 100 gigabits per second.
"Air Force, Space Force procurement offices try to keep programs moving during pandemic","Source selections for national security space launch, ground based strategic deterrent remain on track"
Space Fence surveillance radar site declared operational,The $1.5 billion Space Fence can track tiny objects in low Earth orbit as small as a marble.
"French space agency donates 90,000 face masks to hospitals","Hospitals in Toulouse, France, received 90,000 face masks from the French space agency CNES this week in an effort to help limit the spread of the coronavirus pandemic, according to the agency’s president."
U.S. government aims for better coordination in space weather campaign,"After decades of fighting to be taken seriously, meteorologists say space weather is beginning to get the attention it deserves."
Starliner flight raises profile of Space Network,"The Space Network continues to offer reliable global coverage 24-hours a day for missions led by NASA, the National Oceanic and Atmospheric Administration and other government agencies, said Ted Sobchak, NASA Space Network project manager."
The latest COVID-19 news and event updates for the global space industry,"A time line of the coronavirus pandemic's impact on the global space industry. Follow our reporters on Twitter for updates. Sign up for our newsletters."
National Space Council meeting postponed,"The next meeting of the National Space Council, already scaled back because of the coronavirus pandemic, has been postponed, the White House announced March 21."
"Space should fare better against coronavirus than other industries, report says","“While by no means immune from the broader economic downdraft, we nonetheless expect the Satellite & Space industry to fare somewhat better from a demand perspective than the economy-at-large,” the report said."
Bids sought for $12 billion Space Enterprise Consortium contract,The consortium manager will oversee up to $12 billion worth of space projects over the next decade.
"Space Force, Air Force key tasks not being derailed by coronavirus","\"Goldfein: \"\"We're still flying global mobility missions and conducting global space operations.”\""
Space Force to deliver report to Congress on proposed changes to acquisitions,Congress in the 2020 National Defense Authorization Act directed the Secretary of the Air Force to propose an “alternative space acquisition system.”
GMV reports 30% space revenue boost • ESA patents new telemetry compression technique,"GMV reported 140 million euros in 2019 space revenue ($152.5 million), up 30% year over year. Space counted for more than half of the Spanish company's 245 million euros in total revenue."
RAND study: U.S. Space Force has to define its mission,RAND says most space operational units and space acquisition organizations in DoD should be moved to the Space Force.
U.S. Space Force declares ‘offensive’ communications jammer ready for deployment,The Counter Communications System Block 10.2 was declared operational by the Space and Missile Systems Center’s special programs directorate.
Space in the time of the coronavirus,"Satellite 2020 was forced to end early but at least the conference took place. By the end of the week, the industry’s biggest event, the Space Symposium in Colorado Springs scheduled for the end of March, bowed to the inevitable and announced it would be postponed to a date yet to be determined."
Space Symposium postponed due to coronavirus pandemic,"The 36th Space Symposium, which regularly attracts several thousand registrants and hundreds of exhibitors from around the world to the Broadmoor Hotel in Colorado Springs, Colorado, will not be held March 30 through April 2 as planned."
Assure Space won’t cover collision risk in low Earth orbit,"Since the beginning of the year, space insurance underwriter Assure Space is no longer offering policies covering collision risk for satellites operating in low Earth orbit."
Space industry sees growing effects of coronavirus outbreak,"As the economic impact of the coronavirus outbreak grows worldwide, executives believe the space industry will not be immune from its effects but also may not be hurt as badly as other sectors."
"White House might consider space policies on cybersecurity, supply chain, nuclear power",The next National Space Council policy directive is likely to be on cybersecurity for space.
Space Force’s 2021 budget plan is heavy on satellites and launch,Here’s an analysis of the proposed U.S. Space Force budget’s high points.
Space Force officials defend plan to consider alternatives to a Space National Guard,"\"DoD is taking a \"\"clean sheet\"\" look at how reserve components would support the U.S. Space Force\""
Axiom to fly Crew Dragon mission to the space station,"Axiom Space, a company with ambitions to develop a private space station, announced March 5 that it has signed a contract with SpaceX for a commercial Crew Dragon mission to the International Space Station."
Coronavirus epidemic having limited effect so far on space industry,"The ongoing coronavirus epidemic is having a limited but growing effect on the space industry, as some companies and organizations rethink plans for events."
U.S. Space Force budget projected to grow $2.6 billion over the next five years,"The bulk of the budget growth is for the procurement of classified space systems, and very little is for personnel growth."
U.S. Space Force gets its first budget in name only,"The chief of space operations of the U.S. Space Force, Gen. John “Jay” Raymond, said the Space Force request is not just a rebranded Air Force space budget."
"L3Harris wins $1.2 billion contract to maintain, upgrade space surveillance systems","The award is for a new program named MOSSAIC, short for maintenance of space situational awareness integrated capabilities."
Elon Musk calls on U.S. Space Force to embrace fully reusable rockets: ‘Make Starfleet happen’,Musk said military innovation in space can't happen as long as it continues to use expendable rockets.
